id,code,first_name,second_name,team_id,team_code,team_name
360,462635,Joe,Gelhardt,11,2,Leeds
361,470294,Darko,Gyabi,11,2,Leeds
362,235826,Joël,Piroe,11,2,Leeds
363,106617,Patrick,Bamford,11,2,Leeds
364,565297,Mateo,Joseph Fernández-Regatillo,11,2,Leeds
365,174594,Lukas,Nmecha,11,2,Leeds
493,180135,Sean,Longstaff,11,2,Leeds
660,466525,Anton,Stach,11,2,Leeds
665,201595,Lucas Estella,Perri,11,2,Leeds
691,177815,Dominic,Calvert-Lewin,11,2,Leeds
698,435997,Noah,Okafor,11,2,Leeds
706,220627,James,Justin,11,2,Leeds
741,600882,Harry,Gray,11,2,Leeds
787,565863,Sam,Chambers,11,2,Leeds
837,643970,Jayden,Lienou,11,2,Leeds
838,577978,Rhys,Chadwick,11,2,Leeds
839,592740,Alfie,Cresswell,11,2,Leeds
366,116535,Alisson,Becker,12,14,Liverpool
367,449027,Giorgi,Mamardashvili,12,14,Liverpool
368,586268,Ármin,Pécsi,12,14,Liverpool
369,155503,Freddie,Woodman,12,14,Liverpool
370,216094,Jeremie,Frimpong,12,14,Liverpool
371,544877,Milos,Kerkez,12,14,Liverpool
372,122798,Andrew,Robertson,12,14,Liverpool
373,97032,Virgil,van Dijk,12,14,Liverpool
374,204716,Ibrahima,Konaté,12,14,Liverpool
375,492777,Conor,Bradley,12,14,Liverpool
376,171287,Joe,Gomez,12,14,Liverpool
377,214285,Konstantinos,Tsimikas,12,14,Liverpool
378,611926,Amara,Nallo,12,14,Liverpool
379,219937,Rhys,Williams,12,14,Liverpool
380,489580,Calvin,Ramsay,12,14,Liverpool
381,118748,Mohamed,Salah,12,14,Liverpool
382,494595,Florian,Wirtz,12,14,Liverpool
383,244731,Luis,Díaz Marulanda,12,14,Liverpool
384,243298,Cody,Gakpo,12,14,Liverpool
385,223541,Federico,Chiesa,12,14,Liverpool
386,243016,Alexis,Mac Allister,12,14,Liverpool
387,424876,Dominik,Szoboszlai,12,14,Liverpool
388,206915,Curtis,Jones,12,14,Liverpool
390,441266,Ryan,Gravenberch,12,14,Liverpool
392,158983,Endo,Wataru,12,14,Liverpool
393,535928,Stefan,Bajčetić Maquieira,12,14,Liverpool
394,491501,James,McConnell,12,14,Liverpool
395,440148,Tyler,Morton,12,14,Liverpool
396,591386,Trey,Nyoni,12,14,Liverpool
397,447203,Darwin,Núñez Ribeiro,12,14,Liverpool
398,500058,Jayden,Danns,12,14,Liverpool
499,219168,Alexander,Isak,12,14,Liverpool
661,510663,Hugo,Ekitiké,12,14,Liverpool
686,611922,Rio,Ngumoha,12,14,Liverpool
692,647681,Giovanni,Leoni,12,14,Liverpool
746,596042,Kieran,Morrison,12,14,Liverpool
760,519440,Wellity,Lucky,12,14,Liverpool
830,677945,Will,Wright,12,14,Liverpool
832,718875,Talla,Ndiaye,12,14,Liverpool
82,437730,Antoine,Semenyo,13,43,Man City
182,432720,James,Trafford,13,43,Man City
260,209036,Marc,Guéhi,13,43,Man City
399,121160,Ederson,Santana de Moraes,13,43,Man City
401,122074,Marcus,Bettinelli,13,43,Man City
402,448514,Rayan,Aït-Nouri,13,43,Man City
403,477424,Joško,Gvardiol,13,43,Man City
404,211975,Manuel,Akanji,13,43,Man City
405,126184,Nathan,Aké,13,43,Man City
406,578153,Abdukodir,Khusanov,13,43,Man City
407,465351,Matheus,Nunes,13,43,Man City
408,171314,Rúben,dos Santos Gato Alves Dias,13,43,Man City
409,97299,John,Stones,13,43,Man City
410,477064,Rico,Lewis,13,43,Man City
411,472769,Nico,O'Reilly,13,43,Man City
412,616222,Vitor,de Oliveira Nunes dos Reis,13,43,Man City
413,438234,Omar,Marmoush,13,43,Man City
414,209244,Phil,Foden,13,43,Man City
415,510281,Sávio,Moreira de Oliveira,13,43,Man City
416,165809,Bernardo,Mota Veiga de Carvalho e Silva,13,43,Man City
417,466052,Rayan,Cherki,13,43,Man City
418,248875,Jérémy,Doku,13,43,Man City
420,59859,İlkay,Gündoğan,13,43,Man City
421,220566,Rodrigo 'Rodri',Hernandez Cascante,13,43,Man City
422,91651,Mateo,Kovačić,13,43,Man City
423,465694,Nico,González Iglesias,13,43,Man City
425,575204,Claudio,Echeverri,13,43,Man City
427,433036,Tijjani,Reijnders,13,43,Man City
428,566164,Sverre,Nypan,13,43,Man City
429,155405,Kalvin,Phillips,13,43,Man City
430,223094,Erling,Haaland,13,43,Man City
736,204936,Gianluigi,Donnarumma,13,43,Man City
739,590039,Divine,Mukasa,13,43,Man City
740,566213,Stephen,Mfuni,13,43,Man City
742,616288,Ryan,McAidoo,13,43,Man City
763,516234,Charlie,Gray,13,43,Man City
764,580921,Reigan,Heskey,13,43,Man City
794,494307,Max,Alleyne,13,43,Man City
119,446008,Bryan,Mbeumo,14,1,Man Utd
431,451302,Altay,Bayındır,14,1,Man Utd
432,202641,André,Onana,14,1,Man Utd
433,588555,Elyh,Harrison,14,1,Man Utd
434,21205,Tom,Heaton,14,1,Man Utd
